feature_set,record,label,window_start_s,distance,share_min,standardized_projection_min
RMS + kurtosis (control),InnerRaceFault_vload_6.mat,inner_race_fault,0.0,2908.8989406272826,0.03626641385905501,-553.9632316164164
RMS + kurtosis (control),InnerRaceFault_vload_6.mat,inner_race_fault,0.5,2735.093385609135,0.03786255967655844,-532.2027872083407
RMS + kurtosis (control),InnerRaceFault_vload_6.mat,inner_race_fault,1.0,2664.121064391736,0.03816007088811736,-520.4254696271112
RMS + kurtosis (control),InnerRaceFault_vload_6.mat,inner_race_fault,1.5,2774.2381491536676,0.036608755628296775,-530.8064885388001
RMS + kurtosis (control),InnerRaceFault_vload_6.mat,inner_race_fault,2.0,2735.3820316700057,0.03693620793037691,-525.707463747032
RMS + kurtosis (control),InnerRaceFault_vload_7.mat,inner_race_fault,0.0,2572.5644740000225,0.036509898094373654,-491.55438912668126
RMS + kurtosis (control),InnerRaceFault_vload_7.mat,inner_race_fault,0.5,2491.680528597334,0.03734986093377358,-481.54497241163705
RMS + kurtosis (control),InnerRaceFault_vload_7.mat,inner_race_fault,1.0,2581.563658297963,0.03667110526348701,-494.3617245503718
RMS + kurtosis (control),InnerRaceFault_vload_7.mat,inner_race_fault,1.5,2654.8862276647833,0.036065031369202874,-504.1840142319604
RMS + kurtosis (control),InnerRaceFault_vload_7.mat,inner_race_fault,2.0,2625.6752431800082,0.03627699406470612,-500.0997717257108
RMS + centroid (problem),baseline_3.mat,normal,0.0,2.6957362637636937,0.9253589340443295,2.593179096212934
RMS + centroid (problem),baseline_3.mat,normal,0.5,2.4582894131859003,0.936943910390071,2.379522453798975
RMS + centroid (problem),baseline_3.mat,normal,1.0,3.8480248098151684,0.9771469775521269,3.8038011900422175
RMS + centroid (problem),baseline_3.mat,normal,1.5,4.66111107940222,0.9910602612952009,4.640229748660429
RMS + centroid (problem),baseline_3.mat,normal,2.0,4.610712059479728,0.9886131067612013,4.584386059087803
RMS + centroid (problem),baseline_3.mat,normal,2.5,4.672433657043144,0.9519409073853522,4.55877479698057
RMS + centroid (problem),baseline_3.mat,normal,3.0,4.1381856637886285,0.9998505271390913,4.137876379005707
RMS + centroid (problem),baseline_3.mat,normal,3.5,2.397890953349316,0.7563689326528982,2.085433138012553
RMS + centroid (problem),baseline_3.mat,normal,4.0,2.419068161346257,0.34545031822985717,1.4218078380990982
RMS + centroid (problem),baseline_3.mat,normal,4.5,3.8417069241336304,0.4009658446965429,2.4326404296926714
RMS + centroid (problem),baseline_3.mat,normal,5.0,3.5701904571406833,0.6723249781258513,2.92739285177573
RMS + centroid (problem),OuterRaceFault_3.mat,outer_race_fault,0.0,34.59307233430604,0.6299248892227316,27.455763112827245
RMS + centroid (problem),OuterRaceFault_3.mat,outer_race_fault,0.5,34.91775372287317,0.6210392317291291,27.51729980074203
RMS + centroid (problem),OuterRaceFault_3.mat,outer_race_fault,1.0,34.493269736020004,0.6213050315483413,27.188597154119453
RMS + centroid (problem),OuterRaceFault_3.mat,outer_race_fault,1.5,34.17007971769527,0.6122770251345354,26.737449278202796
RMS + centroid (problem),OuterRaceFault_3.mat,outer_race_fault,2.0,34.29733715298256,0.6156606208690205,26.911077731714805
RMS + centroid (problem),OuterRaceFault_3.mat,outer_race_fault,2.5,33.844924092529055,0.6131679337186476,26.502281451892163
RMS + centroid (problem),OuterRaceFault_3.mat,outer_race_fault,3.0,34.79079034401061,0.6379075500629554,27.787096283374606
RMS + centroid (problem),OuterRaceFault_3.mat,outer_race_fault,3.5,35.49877481618654,0.6404182145032183,28.408297151657095
RMS + centroid (problem),OuterRaceFault_3.mat,outer_race_fault,4.0,35.125575714788845,0.6251057170928055,27.771554290322573
RMS + centroid (problem),OuterRaceFault_3.mat,outer_race_fault,4.5,35.489546294397215,0.6367170096478172,28.318723510866803
RMS + centroid (problem),OuterRaceFault_3.mat,outer_race_fault,5.0,35.97532389940829,0.6357326056599631,28.684148080688974
RMS + centroid (problem),OuterRaceFault_vload_6.mat,outer_race_fault,0.0,121.66166406602413,0.862659166342916,112.99868071956936
RMS + centroid (problem),OuterRaceFault_vload_6.mat,outer_race_fault,0.5,122.00090962495312,0.8647897345081401,113.45361319900393
RMS + centroid (problem),OuterRaceFault_vload_6.mat,outer_race_fault,1.0,121.93809538709806,0.8633404914084436,113.30014413681529
RMS + centroid (problem),OuterRaceFault_vload_6.mat,outer_race_fault,1.5,118.66000209499214,0.8556076760950853,109.75939076759809
RMS + centroid (problem),OuterRaceFault_vload_6.mat,outer_race_fault,2.0,122.8421408726404,0.8650332652226427,114.25199206246964
RMS + centroid (problem),OuterRaceFault_vload_7.mat,outer_race_fault,0.0,105.14755637690106,0.8372005604527604,-96.20860983490545
RMS + centroid (problem),OuterRaceFault_vload_7.mat,outer_race_fault,0.5,80.21397890073776,0.6976595079371831,-66.99953955698895
RMS + centroid (problem),OuterRaceFault_vload_7.mat,outer_race_fault,1.0,75.01496593245828,0.6471831220767449,-60.34780908592437
RMS + centroid (problem),OuterRaceFault_vload_7.mat,outer_race_fault,1.5,84.50281716610675,0.7297829446284773,-72.18850411677505
RMS + centroid (problem),OuterRaceFault_vload_7.mat,outer_race_fault,2.0,91.49737994336779,0.7733394095464072,-80.46253838623097
RMS + centroid (problem),InnerRaceFault_vload_6.mat,inner_race_fault,0.0,225.42115723450038,0.9206327585161792,-216.29072035483676
RMS + centroid (problem),InnerRaceFault_vload_6.mat,inner_race_fault,0.5,238.3954297019858,0.9296608190678066,-229.85829934911087
RMS + centroid (problem),InnerRaceFault_vload_6.mat,inner_race_fault,1.0,235.32796419875183,0.928739173873166,-226.78818217963686
RMS + centroid (problem),InnerRaceFault_vload_6.mat,inner_race_fault,1.5,215.43344314497418,0.9135323642151045,-205.90888720619694
RMS + centroid (problem),InnerRaceFault_vload_6.mat,inner_race_fault,2.0,217.7802251253591,0.9157563264935512,-208.4051305297742
RMS + centroid (problem),InnerRaceFault_vload_7.mat,inner_race_fault,0.0,175.5345232026975,0.8524246355518901,-162.06548761385412
RMS + centroid (problem),InnerRaceFault_vload_7.mat,inner_race_fault,0.5,181.1268907403455,0.8610002900536482,-168.0678254119238
RMS + centroid (problem),InnerRaceFault_vload_7.mat,inner_race_fault,1.0,179.3485281607573,0.8574606247423325,-166.07524812319275
RMS + centroid (problem),InnerRaceFault_vload_7.mat,inner_race_fault,1.5,177.76616893564625,0.8573724356846548,-164.60153140444132
RMS + centroid (problem),InnerRaceFault_vload_7.mat,inner_race_fault,2.0,178.07850920347886,0.8572478393428676,-164.8787593427114
crest + centroid (counterexample),baseline_3.mat,normal,0.0,0.7378382822346046,0.0036537985517628674,0.04459985884502989
crest + centroid (counterexample),baseline_3.mat,normal,0.5,0.9128298728796903,0.5426873114446352,-0.6724572464149737
crest + centroid (counterexample),baseline_3.mat,normal,1.0,0.9498300298845184,0.6249169479220815,-0.7508566779768296
crest + centroid (counterexample),baseline_3.mat,normal,1.5,0.5059194383818365,0.24117622109529588,-0.2484554966355892
crest + centroid (counterexample),baseline_3.mat,normal,2.0,1.0119163977431307,0.7635974457142843,0.8842536619758904
crest + centroid (counterexample),baseline_3.mat,normal,2.5,1.5089480763200624,0.539199282792308,-1.1080234419591335
crest + centroid (counterexample),baseline_3.mat,normal,3.0,0.933160320385409,0.9970605384738713,-0.9317878166078748
crest + centroid (counterexample),baseline_3.mat,normal,3.5,1.2908649256414841,0.1593214398992538,-0.5152498951155104
crest + centroid (counterexample),baseline_3.mat,normal,4.0,1.9592162951648027,0.0021297752938614642,-0.0904168299899127
crest + centroid (counterexample),baseline_3.mat,normal,4.5,3.5653801382091013,0.30451415389643294,1.9674766306831832
crest + centroid (counterexample),baseline_3.mat,normal,5.0,2.2355305197700313,0.1642721884642055,0.9060718226293213
crest + centroid (counterexample),OuterRaceFault_3.mat,outer_race_fault,0.0,21.28692676256313,0.02266774364461214,-3.2049194015447795
crest + centroid (counterexample),OuterRaceFault_3.mat,outer_race_fault,0.5,21.943752264319563,0.040455575238615454,-4.4136722681944764
crest + centroid (counterexample),OuterRaceFault_3.mat,outer_race_fault,1.0,21.690218906775893,0.04229795071140128,-4.460911409172657
crest + centroid (counterexample),OuterRaceFault_3.mat,outer_race_fault,1.5,21.628952479163846,0.032295930571370146,-3.886953882002549
crest + centroid (counterexample),OuterRaceFault_3.mat,outer_race_fault,2.0,21.617738417798343,0.03257970294507292,-3.901969025022138
crest + centroid (counterexample),OuterRaceFault_3.mat,outer_race_fault,2.5,21.270314494205227,0.02059627842733802,-3.052588672518306
crest + centroid (counterexample),OuterRaceFault_3.mat,outer_race_fault,3.0,21.172620956361538,0.022315274080439595,-3.162829167995916
crest + centroid (counterexample),OuterRaceFault_3.mat,outer_race_fault,3.5,21.820427160552452,0.04830466299544144,-4.795763703502018
crest + centroid (counterexample),OuterRaceFault_3.mat,outer_race_fault,4.0,22.013314913731538,0.04548039992779492,-4.694589077075836
crest + centroid (counterexample),OuterRaceFault_3.mat,outer_race_fault,4.5,21.5849137561658,0.017923457137541777,-2.8897562290137917
crest + centroid (counterexample),OuterRaceFault_3.mat,outer_race_fault,5.0,21.85588599551999,0.01305510638877862,-2.497230464054195
crest + centroid (counterexample),OuterRaceFault_vload_6.mat,outer_race_fault,0.0,47.25263919722556,0.08955214236849199,-14.14047701264623
crest + centroid (counterexample),OuterRaceFault_vload_6.mat,outer_race_fault,0.5,46.38908395642476,0.06480055766481588,-11.808783714408543
crest + centroid (counterexample),OuterRaceFault_vload_6.mat,outer_race_fault,1.0,46.48317879109383,0.05956873832068393,-11.345013600575372
crest + centroid (counterexample),OuterRaceFault_vload_6.mat,outer_race_fault,1.5,46.413900077418695,0.05625055136984833,-11.008076901115441
crest + centroid (counterexample),OuterRaceFault_vload_6.mat,outer_race_fault,2.0,46.23830558752714,0.04738438095400446,-10.06513296528326
crest + centroid (counterexample),OuterRaceFault_vload_7.mat,outer_race_fault,0.0,46.52938952792796,0.16862567174452367,-19.106854698399598
crest + centroid (counterexample),OuterRaceFault_vload_7.mat,outer_race_fault,0.5,48.72214427920038,0.1805099303869835,-20.70031445808779
crest + centroid (counterexample),OuterRaceFault_vload_7.mat,outer_race_fault,1.0,53.79195537509422,0.31386339086832915,-30.136142631582402
crest + centroid (counterexample),OuterRaceFault_vload_7.mat,outer_race_fault,1.5,52.74571123464069,0.3064450191139138,-29.19869463806908
crest + centroid (counterexample),OuterRaceFault_vload_7.mat,outer_race_fault,2.0,50.36195736392033,0.2518508462017196,-25.274019033624455
crest + centroid (counterexample),InnerRaceFault_vload_6.mat,inner_race_fault,0.0,69.36458839514829,0.16178572595589563,-27.900238420919933
crest + centroid (counterexample),InnerRaceFault_vload_6.mat,inner_race_fault,0.5,68.82910444689011,0.15618165721853555,-27.20114166265831
crest + centroid (counterexample),InnerRaceFault_vload_6.mat,inner_race_fault,1.0,68.57893173857114,0.16089455394605182,-27.508150251568342
crest + centroid (counterexample),InnerRaceFault_vload_6.mat,inner_race_fault,1.5,69.43927442494204,0.16771987126808324,-28.43789421833008
crest + centroid (counterexample),InnerRaceFault_vload_6.mat,inner_race_fault,2.0,69.25646774430662,0.16698360304555412,-28.30070481223374
crest + centroid (counterexample),InnerRaceFault_vload_7.mat,inner_race_fault,0.0,71.99960320965837,0.12284007151004782,-25.234815472177736
crest + centroid (counterexample),InnerRaceFault_vload_7.mat,inner_race_fault,0.5,71.2832221479766,0.1025605707631009,-22.828508458988875
crest + centroid (counterexample),InnerRaceFault_vload_7.mat,inner_race_fault,1.0,72.22680177529223,0.12111155931528797,-25.135711467007194
crest + centroid (counterexample),InnerRaceFault_vload_7.mat,inner_race_fault,1.5,72.67462413227828,0.14663241064104915,-27.8290115816879
crest + centroid (counterexample),InnerRaceFault_vload_7.mat,inner_race_fault,2.0,72.78772975839864,0.1455445855486316,-27.76874170571327
