claim,query,title,authors,venue,date,cited_by,doi,eid,type,abstract
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",Data Fusion and Machine Learning for Diagnosing Electrical and Mechanical Faults in BLDC Motors,Karbowniczyn M.,Machines,2026-06-01,0,10.3390/machines14060680,2-s2.0-105042726622,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",Application of Machine Learning Models for Predicting pIC50 Values of Plasticizers Against Cytochrome P450 Aromatase,Mongadi I.L.,Chemistry Switzerland,2026-05-01,0,10.3390/chemistry8050068,2-s2.0-105040270869,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",Transformer Oil Aging Diagnosis Model Based on BiLSTM-Attention Model,Wenjun X.,Laser and Optoelectronics Progress,2026-05-01,0,10.3788/LOP251875,2-s2.0-105038665214,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",Fault diagnosis strategy for nuclear power plant CVS based on multi-model fusion ensemble learning,Huang Y.,Annals of Nuclear Energy,2026-04-01,1,10.1016/j.anucene.2025.112075,2-s2.0-105026198010,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",Raman spectroscopic aging assessment of oil-paper insulation based on an inception-resnet network integrating dilated convolution,Li S.,Guangdian Gongcheng Opto Electronic Engineering,2026-04-01,0,10.12086/oee.2026.250285,2-s2.0-105041549945,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",Comparative analysis of supervised learning algorithms for predictive maintenance of bearings using vibration data,Bhende A.R.,Insight Non Destructive Testing and Condition Monitoring,2026-03-01,1,10.1784/insi.2026.68.3.188,2-s2.0-105037127267,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",An integrated IoT framework for intelligent vibration-based fault diagnosis of internal combustion engines,Baranovskyi D.,Journal of Low Frequency Noise Vibration and Active Control,2026-01-01,0,10.1177/14613484261451309,2-s2.0-105039137672,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",Lightweight Coil-Current-Based Fault Diagnosis of Magnetic Actuator Mechanisms in Distribution Network Circuit Breakers,Meng Y.,2026 5th International Conference on Electronic Information Engineering Big Data and Computer Technology Eibdct 2026,2026-01-01,0,10.1109/EIBDCT69742.2026.11566972,2-s2.0-105044241493,Conference Paper,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",Cross-Condition Fault Diagnosis of Rolling Bearings Based on Healthy Baseline Regression Residuals and Load Normalization,Yuan C.,2026 5th International Symposium on Robotics Artificial Intelligence and Information Engineering Raiie 2026,2026-01-01,0,10.1109/RAIIE70320.2026.11566726,2-s2.0-105044186511,Conference Paper,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",Risk-aware inverse design of char yield and energy quality in solid waste pyrolysis using test-validated machine learning surrogates,Chen J.,Fuel,2027-01-15,0,10.1016/j.fuel.2026.140214,2-s2.0-105042525440,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",Mineral prospectivity mapping under extreme imbalance using contrastive embeddings balanced learning and integrated uncertainty analysis,Nidhi D.K.,Discover Computing,2026-12-01,0,10.1007/s10791-026-10192-z,2-s2.0-105039682444,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",Toward sustainable energy production: a comparative machine learning framework for predicting green hydrogen cost across the african continent,Elewa A.M.T.,Scientific Reports,2026-12-01,2,10.1038/s41598-026-47726-w,2-s2.0-105036302647,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",Digital twin-based machine learning framework for predicting nonlinear seismic response of reinforced concrete shear walls using analytical data,Kuria K.K.,Scientific Reports,2026-12-01,2,10.1038/s41598-025-32626-2,2-s2.0-105028524154,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",Beyond peak accuracy: a stability-centric framework for reliable multimodal student engagement assessment,Almuniri I.S.,Scientific Reports,2026-12-01,2,10.1038/s41598-025-31215-7,2-s2.0-105026368308,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",An explainable machine learning framework integrating hybrid feature selection and interaction modeling for hepatitis C stage prediction,Lamba R.,Discover Computing,2026-12-01,0,10.1007/s10791-026-10292-w,2-s2.0-105042251496,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",A leakage-controlled machine learning framework for postprandial triglyceride phenotyping using synthetic clinical data,Piyavechvirat N.,Scientific Reports,2026-12-01,0,10.1038/s41598-026-47362-4,2-s2.0-105040930594,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",Gender disparities in random blood glucose levels among Pakistani adults with type 2 diabetes: a cross-sectional analysis,Khan R.,Scientific Reports,2026-12-01,0,10.1038/s41598-026-52654-w,2-s2.0-105044671550,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",MRI-based radiomics analysis and machine learning in the differentiation of endometriomas from hemorrhagic ovarian cysts,Doostparast A.,European Journal of Radiology Open,2026-12-01,0,10.1016/j.ejro.2026.100818,2-s2.0-105050187658,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",Less is more? A hybrid machine learning and psychometric approach to identifying clinically relevant psychopathology in Chinese youth using the Child Behaviour Checklist,Luo J.,Child and Adolescent Psychiatry and Mental Health,2026-12-01,0,10.1186/s13034-026-01087-4,2-s2.0-105043518474,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",DNA methylation biomarkers-based pan-cancer classifier: predictive modeling for cancer classification,Bińkowski J.,Genome Medicine,2026-12-01,0,10.1186/s13073-026-01650-w,2-s2.0-105039440070,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",Genome-resolved surveillance and predictive ecological risk modeling of urban microbiomes,Aminu S.,Microbiome,2026-12-01,4,10.1186/s40168-025-02315-3,2-s2.0-105028788508,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",A compact and interpretable multi-source framework for heterogeneous medical image classification,Ayivi W.,Scientific Reports,2026-12-01,1,10.1038/s41598-026-51120-x,2-s2.0-105043561985,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",Postpartum ovarian vein thrombosis: plain CT with clinical indicators—diagnostic performance and clinical application,Zeng W.,BMC Pregnancy and Childbirth,2026-12-01,0,10.1186/s12884-026-09325-5,2-s2.0-105046996348,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",Machine learning prediction of metabolic dysregulation in women with polycystic ovary syndrome: development and validation of hemato-inflammatory predictive models,Oguzhanoglu M.K.,BMC Endocrine Disorders,2026-12-01,0,10.1186/s12902-026-02284-0,2-s2.0-105038190150,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",Interpretable machine learning for predicting in-hospital mortality in COPD ICU patients: a rigorous validation across time and geography,Li Y.,Respiratory Research,2026-12-01,0,10.1186/s12931-026-03702-6,2-s2.0-105044525685,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",Uncertainty-aware terahertz spectroscopic quantification of a weak molecular absorber in a powdered matrix: Benzoic acid as a model system,Vinodhini Shanmugapriya E.,Vibrational Spectroscopy,2026-11-01,0,10.1016/j.vibspec.2026.103950,2-s2.0-105049141954,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",Machine learning classification of dilated cardiomyopathy severity in commercial broiler chickens,Bilginer Ü.,Poultry Science,2026-11-01,0,10.1016/j.psj.2026.107473,2-s2.0-105047994777,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",Multidimensional energy poverty assessment and behavioral scenarios: An interpretable analytics approach,Dejkam R.,Journal of Cleaner Production,2026-09-20,0,10.1016/j.jclepro.2026.149400,2-s2.0-105049620225,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))","Correction: Counterfactual scenario modeling for improving project completion in transportation infrastructure through BIM-enabled monitoring and control (Innovative Infrastructure Solutions, (2026), 11, 9, (483), 10.1007/s41062-026-02882-w)",Farivar M.,Innovative Infrastructure Solutions,2026-09-01,0,10.1007/s41062-026-02938-x,2-s2.0-105048991511,Erratum,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",Predicting pavement roughness evolution in data-limited contexts using spatially validated probabilistic hindcasting,Odera A.,Transportation Research Interdisciplinary Perspectives,2026-09-01,0,10.1016/j.trip.2026.102231,2-s2.0-105048730853,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",Investigating the Contribution of Molecular-Enriched Functional Connectivity to Brain-Age Analysis,Pinamonti M.,Human Brain Mapping,2026-09-01,0,10.1002/hbm.70627,2-s2.0-105048987987,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",High-precision Estimation of Aerosol Optical Depth Using Sentinel-2 Imagery and AERONET Ground Observations,Jayswal H.,International Journal of Intelligent Engineering and Systems,2026-08-31,0,10.22266/ijies2026.0831.59,2-s2.0-105044938373,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",Nested Cross-Validation Reveals Performance Inflation in MRI Radiomics for Early Mortality Prediction in IDH-Wildtype Glioblastoma,Becker L.I.,Cancers,2026-08-01,0,10.3390/cancers18162595,2-s2.0-105048443653,Article,
A3_repeated_resampling_variance,"TITLE-ABS-KEY((""repeated cross-validation"" OR ""repeated random subsampling"" OR ""repeated holdout"" OR ""nested cross-validation"") AND (""variance"" OR ""uncertainty"" OR ""instability""))",A Generalizable and Interpretable Framework for Molecular Subtype Classification of Pancreatic Ductal Adenocarcinoma Integrating Conformal Uncertainty Quantification and Consensus-Based Explainable Artificial Intelligence Across Multiple Cohorts,Yasar S.,International Journal of Molecular Sciences,2026-08-01,0,10.3390/ijms27156989,2-s2.0-105047161935,Article,
A4_benchmark_variance_ml,"TITLE-ABS-KEY((""benchmark"" OR ""evaluation"") AND (""variance"" OR ""variability"") AND (""machine learning"") AND (""reporting"" OR ""protocol"" OR ""protocols""))",Prediction of cooking-induced food transformations: A survey and outlook towards machine learning,Ben Jmaa A.B.,Journal of Food Engineering,2027-02-01,0,10.1016/j.jfoodeng.2026.113175,2-s2.0-105044401468,Review,
A4_benchmark_variance_ml,"TITLE-ABS-KEY((""benchmark"" OR ""evaluation"") AND (""variance"" OR ""variability"") AND (""machine learning"") AND (""reporting"" OR ""protocol"" OR ""protocols""))",Comprehensive systematic literature review in hand–eye camera calibration,Almutairi D.,Robotics and Computer Integrated Manufacturing,2027-02-01,0,10.1016/j.rcim.2026.103389,2-s2.0-105045705578,Review,
A4_benchmark_variance_ml,"TITLE-ABS-KEY((""benchmark"" OR ""evaluation"") AND (""variance"" OR ""variability"") AND (""machine learning"") AND (""reporting"" OR ""protocol"" OR ""protocols""))",A Benchmark Study for Reporting Feasibility in AI-Based Infant Hearing Screening: Exploring the Limits of Passive Sensing,Corso L.,Lecture Notes in Computer Science,2027-01-01,0,10.1007/978-3-032-30710-1_38,2-s2.0-105045823163,Conference Paper,
A4_benchmark_variance_ml,"TITLE-ABS-KEY((""benchmark"" OR ""evaluation"") AND (""variance"" OR ""variability"") AND (""machine learning"") AND (""reporting"" OR ""protocol"" OR ""protocols""))",Comparative Framework for Electric Demand Forecasting with Machine Learning and Rolling Temporal Validation,Castillo J.C.,Lecture Notes in Networks and Systems,2027-01-01,0,10.1007/978-3-032-32032-2_33,2-s2.0-105046832918,Conference Paper,
A4_benchmark_variance_ml,"TITLE-ABS-KEY((""benchmark"" OR ""evaluation"") AND (""variance"" OR ""variability"") AND (""machine learning"") AND (""reporting"" OR ""protocol"" OR ""protocols""))","Machine learning-enabled label-free SERS for microbial sensing: Toward robust, generalizable, and deployable workflows",Mahmud S.,Talanta,2027-01-01,0,10.1016/j.talanta.2026.130241,2-s2.0-105044010505,Review,
A4_benchmark_variance_ml,"TITLE-ABS-KEY((""benchmark"" OR ""evaluation"") AND (""variance"" OR ""variability"") AND (""machine learning"") AND (""reporting"" OR ""protocol"" OR ""protocols""))",Comparative Evaluation of Machine Learning Models for Traffic Flow Prediction in Smart Cities,Carpeta W.A.,Communications in Computer and Information Science,2027-01-01,0,10.1007/978-3-032-33381-0_10,2-s2.0-105046153004,Conference Paper,
A4_benchmark_variance_ml,"TITLE-ABS-KEY((""benchmark"" OR ""evaluation"") AND (""variance"" OR ""variability"") AND (""machine learning"") AND (""reporting"" OR ""protocol"" OR ""protocols""))","DecNefSimulator: A modular, interpretable framework for decoded neurofeedback simulation using generative models",Olza A.,Neurocomputing,2026-12-07,0,10.1016/j.neucom.2026.134920,2-s2.0-105049154439,Article,
A4_benchmark_variance_ml,"TITLE-ABS-KEY((""benchmark"" OR ""evaluation"") AND (""variance"" OR ""variability"") AND (""machine learning"") AND (""reporting"" OR ""protocol"" OR ""protocols""))","The AHEPA EEG benchmark: setting the standard for machine learning in dementia diagnosis, a scoping review",Miltiadous A.,Cognitive Neurodynamics,2026-12-01,0,10.1007/s11571-026-10464-w,2-s2.0-105039490468,Article,
A4_benchmark_variance_ml,"TITLE-ABS-KEY((""benchmark"" OR ""evaluation"") AND (""variance"" OR ""variability"") AND (""machine learning"") AND (""reporting"" OR ""protocol"" OR ""protocols""))",A Benchmark Dataset for Concealed Improvised Explosive Device Detection in X-ray Security Imaging,Takele N.A.,Scientific Data,2026-12-01,0,10.1038/s41597-026-07263-7,2-s2.0-105043920937,Data Paper,
A4_benchmark_variance_ml,"TITLE-ABS-KEY((""benchmark"" OR ""evaluation"") AND (""variance"" OR ""variability"") AND (""machine learning"") AND (""reporting"" OR ""protocol"" OR ""protocols""))",A narrative review of clinical decision support systems in offloading footwear for diabetic foot ulcers,Kumar K.,BMC Medical Informatics and Decision Making,2026-12-01,1,10.1186/s12911-026-03349-9,2-s2.0-105033343210,Review,
A4_benchmark_variance_ml,"TITLE-ABS-KEY((""benchmark"" OR ""evaluation"") AND (""variance"" OR ""variability"") AND (""machine learning"") AND (""reporting"" OR ""protocol"" OR ""protocols""))","Accessible assessment of motor and cognitive symptoms in Parkinson’s disease: integrating large datasets, machine-learning, and videoconferencing",Lithwick Algon A.,Npj Digital Medicine,2026-12-01,1,10.1038/s41746-026-02426-7,2-s2.0-105034247906,Article,
A4_benchmark_variance_ml,"TITLE-ABS-KEY((""benchmark"" OR ""evaluation"") AND (""variance"" OR ""variability"") AND (""machine learning"") AND (""reporting"" OR ""protocol"" OR ""protocols""))",A systematic literature review on the accuracy of machine learning based DDoS detection techniques in Software Defined Networking,AL Mandhari E.A.,Discover Computing,2026-12-01,2,10.1007/s10791-026-10050-y,2-s2.0-105033809336,Review,
A4_benchmark_variance_ml,"TITLE-ABS-KEY((""benchmark"" OR ""evaluation"") AND (""variance"" OR ""variability"") AND (""machine learning"") AND (""reporting"" OR ""protocol"" OR ""protocols""))","Development, internal testing, and external validation of an interpretable machine-learning model for predicting imaging-confirmed in-hospital postoperative deep vein thrombosis in older patients with patellar fractures",Duan W.,BMC Medical Informatics and Decision Making,2026-12-01,0,10.1186/s12911-026-03616-9,2-s2.0-105046934171,Article,
A4_benchmark_variance_ml,"TITLE-ABS-KEY((""benchmark"" OR ""evaluation"") AND (""variance"" OR ""variability"") AND (""machine learning"") AND (""reporting"" OR ""protocol"" OR ""protocols""))",Radiomics in fetal brain MRI: a narrative review,Pacchiano F.,European Radiology Experimental,2026-12-01,1,10.1186/s41747-026-00697-z,2-s2.0-105033546022,Review,
